Species,Caught,Sold,Value,Price/Lb.
Miscellaneous                 ,"4,651","4,651","$29,172 ",$6.27 
Sharks                        ,"256,193","177,726","$144,150 ",$0.81 
Shark fins                    ,"8,014","8,006","$130,955 ",$16.36 
Eels                          ,621,429,$539 ,$1.26 
Armorhead                     ,8,0,$0 ,$0.00 
Bigeye scad (akule)           ,"1,105,272","632,767","$1,005,312 ",$1.59 
Mackerel scad                 ,"269,798","242,688","$439,984 ",$1.81 
Leatherjacket                 ,466,294,$572 ,$1.95 
Ten pounder                   ,306,111,$88 ,$0.80 
Bonefish                      ,"8,240","2,704","$3,594 ",$1.33 
Milkfish                      ,"1,954",927,$958 ,$1.03 
Flying fishes                 ,5,5,$5 ,$1.07 
Needlefishes                  ,592,388,$503 ,$1.29 
Threadfin                     ,837,516,"$2,148 ",$4.16 
Mullets                       ,"7,495","6,109","$18,642 ",$3.05 
Pomfret                       ,"276,816","276,727","$498,593 ",$1.80 
Oilfish                       ,"97,366","93,004","$158,424 ",$1.70 
Jacks                         ,"23,815","4,366","$6,956 ",$1.59 
Kahala (amberjack)            ,"24,597","1,389","$1,987 ",$1.43 
Sasa ulua                     ,497,130,$235 ,$1.81 
Butaguchi (pig-lipped ulua)   ,"43,899","27,760","$50,519 ",$1.82 
Dobe ulua                     ,"1,484","1,275","$2,257 ",$1.77 
Papa ulua                     ,"5,721","5,508","$12,333 ",$2.24 
White ulua                    ,"9,903","9,435","$16,255 ",$1.72 
Gunkin (black) ulua           ,"1,421","1,091","$2,187 ",$2.00 
Blue trevally                 ,"3,061","2,519","$5,079 ",$2.02 
Hapuupuu (hawaiian grouper)   ,"46,361","41,565","$153,401 ",$3.69 
Blue spot grouper             ,691,85,$220 ,$2.59 
Kalekale                      ,"23,474","22,820","$67,921 ",$2.98 
Snappers                      ,"1,452","1,153","$3,621 ",$3.14 
Taape (blue lined snapper)    ,"56,892","42,358","$44,949 ",$1.06 
Ehu (red snapper)             ,"45,349","43,381","$178,085 ",$4.11 
Gindai (flower snapper)       ,"5,884","5,435","$18,333 ",$3.37 
Golden kalekale               ,146,138,$325 ,$2.34 
Lehi (silverjaw)              ,"12,617","11,421","$35,664 ",$3.12 
